Order No,Order Type,Entry Type,Order Date,Config ID,Is MTO,Createts,Draft Order Flag
341460035999,PAPERORDER,CCA,2024-05-25 07:20:53,7667289-V1-OB-538375,null,2024-05-25 07:14:40,Y
341460074717,PHONEORDER,CCA,2024-05-25 10:27:00,1596918-V1-CP-26-3172524,null,2024-05-25 10:27:01,Y
341460074717,PHONEORDER,CCA,2024-05-25 10:27:00,6883566-V1-CP-22,null,2024-05-25 10:27:01,Y
341460787094,PAPERORDER,CCA,2024-05-25 16:26:58,6685224-V1-OL-790681,null,2024-05-25 16:26:58,Y
341460933763,PHONEORDER,CCA,2024-06-07 15:19:03,2863510-V1-OB-9716840,null,2024-05-25 16:28:48,Y
341480254489,PHONEORDER,CCA,2024-05-27 11:23:35,5531591-V1-OB-7101013,null,2024-05-27 11:23:36,Y
341482261227,PHONEORDER,CCA,2024-05-27 09:12:59,1052264-V1-LQ-3100,Y,2024-05-27 09:15:36,Y
341482261227,PHONEORDER,CCA,2024-05-27 09:12:59,1052264-V1-LQ-4000,Y,2024-05-27 09:15:36,Y
341482261227,PHONEORDER,CCA,2024-05-27 09:12:59,2230780-V1-OB-1200,Y,2024-05-27 09:15:36,Y
341482261227,PHONEORDER,CCA,2024-05-27 09:12:59,2230780-V1-OB-1300,Y,2024-05-27 09:15:36,Y
341482261227,PHONEORDER,CCA,2024-05-27 09:12:59,2230780-V1-OB-1700,Y,2024-05-27 09:15:36,Y
341482261227,PHONEORDER,CCA,2024-05-27 09:12:59,2230780-V1-OB-3300,Y,2024-05-27 09:15:36,Y
341490033360,PHONEORDER,CCA,2024-06-03 14:01:28,5206538-V1-180-6787308,null,2024-05-28 11:29:58,Y
341490033360,PHONEORDER,CCA,2024-06-03 14:01:28,5729379-V1-PN-36,null,2024-05-28 11:29:58,Y
341490355573,PHONEORDER,CCA,2024-05-28 07:56:01,2295142-V1-OB-9968240,null,2024-05-28 07:56:02,Y
341490508122,PHONEORDER,CCA,2024-05-28 12:01:57,2408764-V1-GYRP-30,null,2024-05-28 12:01:57,Y
341490674742,PHONEORDER,CCA,2024-05-28 12:17:55,1511046-V1-OL-36,null,2024-05-28 12:17:56,Y
341490674742,PHONEORDER,CCA,2024-05-28 12:17:55,8525092-V1-CP,null,2024-05-28 12:17:56,Y
341490795364,PHONEORDER,CCA,2024-05-28 13:54:02,1817948-V1-CP-32,null,2024-05-28 13:54:03,Y
341490795364,PHONEORDER,CCA,2024-05-28 13:54:02,2487376-V1-CP-32,null,2024-05-28 13:54:03,Y
341490864970,PAPERORDER,CCA,2024-05-28 15:32:57,1954517-V1-OL-1981212,null,2024-05-28 15:31:51,Y
341492337918,PHONEORDER,CCA,2024-05-28 11:36:59,7079703-V1-UN-3000,Y,2024-05-28 11:37:31,Y
341493719049,PHONEORDER,CCA,2024-05-28 17:23:40,1052264-V1-LQ-1300,Y,2024-05-28 17:24:24,Y
341493719049,PHONEORDER,CCA,2024-05-28 17:23:40,1052264-V1-UN-1200,Y,2024-05-28 17:24:24,Y
341493719049,PHONEORDER,CCA,2024-05-28 17:23:40,1052264-V1-UN-1700,Y,2024-05-28 17:24:24,Y
341493719049,PHONEORDER,CCA,2024-05-28 17:23:40,1052264-V1-UN-3300,Y,2024-05-28 17:24:24,Y
341493719049,PHONEORDER,CCA,2024-05-28 17:23:40,2230780-V1-UN-3100,Y,2024-05-28 17:24:24,Y
341493719049,PHONEORDER,CCA,2024-05-28 17:23:40,2230780-V1-UN-4000,Y,2024-05-28 17:24:24,Y
341493996142,PHONEORDER,CCA,2024-05-28 08:58:09,3423164-V1-OB-PS-2375-ST,Y,2024-05-28 08:59:01,Y
341500522030,PHONEORDER,CCA,2024-05-29 13:43:46,9902700-V1-UD-OB-34,null,2024-05-29 13:43:46,Y
341500877459,PHONEORDER,CCA,2024-05-29 12:58:36,6769173-V1-LQ-3172524,null,2024-05-29 12:58:36,Y
341500886179,PHONEORDER,CCA,2024-05-29 13:35:24,9343753-V1-OB-48,null,2024-05-29 13:35:24,Y
